LINHA,OPERACAO,MES_REFERENCIA,STE_CODIGO,ORI_CODIGO,PRD_CODIGO,PERFIL_ACAO,DIA_CLIENTE,DIA_PRODUTO,DIA_SITE,DIA_PERFIL,MES,ANOMES,DIAS_UTEIS,JORNADA_SEMANAL,PA_CONTRATADA,PA_REAL,HC_ATIVO,HC_ESCALADO,HC_TRABALHO,HC_FERIAS,HC_ABS,MD_TP_DISPONIVEL,LIG_HC,VEN_HC,LIG_VENDA,TICKET_MEDIO,CONSOLIDADO_VENDA_REAL,SEMANA_1_LIG_HC,SEMANA_1_VEN_HC,SEMANA_1_LIG_VENDA,SEMANA_1_HC_TRABALHADO,SEMANA_1_VENDA_TOTAL,SEMANA_1_VENDA_DIA,SEMANA_2_LIG_HC,SEMANA_2_VEN_HC,SEMANA_2_LIG_VENDA,SEMANA_2_HC_TRABALHADO,SEMANA_2_VENDA_TOTAL,SEMANA_2_VENDA_DIA,SEMANA_3_LIG_HC,SEMANA_3_VEN_HC,SEMANA_3_LIG_VENDA,SEMANA_3_HC_TRABALHADO,SEMANA_3_VENDA_TOTAL,SEMANA_3_VENDA_DIA,SEMANA_4_LIG_HC,SEMANA_4_VEN_HC,SEMANA_4_LIG_VENDA,SEMANA_4_HC_TRABALHADO,SEMANA_4_VENDA_TOTAL,SEMANA_4_VENDA_DIA,SEMANA_5_LIG_HC,SEMANA_5_VEN_HC,SEMANA_5_LIG_VENDA,SEMANA_5_HC_TRABALHADO,SEMANA_5_VENDA_TOTAL,SEMANA_5_VENDA_DIA,ORDEM,ORDEM_2,ESPACO_HC,ESPACO_CS,ESPACO_1,ESPACO_2,ESPACO_3,ESPACO_4
1,BB Cap - Capitalização,2021-10-01T00:00:00,4,85,4,1,BB Cap,Capitalização,ZL,C,OUTUBRO,202110,24.5,,40,55,66,66.12244897959184,55,5,4.9,0,135,1.4,96.3,149,1964,124,1.8,70,56,601,100,138,1.4,98.9,58,404,81,149,1.3,117.4,55,423,71,135,1.3,101,55,445,74,123,0.9,137.1,50,91,46,1,1,0,0,0,0,0,0
2,BB Cap - Capitalização,2021-11-01T00:00:00,4,85,4,1,BB Cap,Capitalização,ZL,C,NOVEMBRO,202111,23.6,,40,53,65,64.8728813559322,53,4,7.4,0,142,1.3,108.2,150,1706,126,1.7,72.8,49,422,84,140,1.4,98.5,51,440,73,145,1.1,130.7,54,301,60,152,1.1,133,58,398,66,152,1.2,126,60,145,73,1,1,0,0,0,0,0,0
3,BB Cap - Capitalização,2021-12-01T00:00:00,4,85,4,1,BB Cap,Capitalização,ZL,C,DEZEMBRO,202112,21,,40,59,70,69.80952380952381,59,6,5.5,0,205,1.8,113.1,145,2254,193,2.4,80.5,54,657,131,212,2,105.7,59,594,119,201,1.7,120.2,62,516,103,213,1.5,145.9,60,354,89,211,1.1,191.8,60,133,67,1,1,0,0,0,0,0,0
4,BB Cap - Capitalização,2022-01-01T00:00:00,4,85,4,1,BB Cap,Capitalização,ZL,C,JANEIRO - Parc,202201,6,,40,57,65,64.66666666666667,57,3,7.1,0,203,2.3,89.9,142,772,203,2.4,84.6,56,681,136,203,1.6,129.6,58,91,91,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0
5,BB Cap - Capitalização,2022-01-01T00:00:00,4,85,4,1,BB Cap,Capitalização,ZL,C,JANEIRO - Obj,202201,21,,70,,57,54.08,52,3,4,0,193,1.9,102.1,145,2062,173,2.2,77,52,583,117,197,2,96,52,533,107,197,1.7,114,52,449,90,202,1.6,125,52,419,84,211,1.5,140,52,78,78,1,2,0,0,0,0,0,0
6,BB Cartões - Visa,2021-10-01T00:00:00,4,43,2,1,BB Cartões,Visa,ZL,C,OUTUBRO,202110,24.8,,0,92,107,106.8145161290323,92,8,4.2,0,152,3.1,46.7,0,13339,151,3.7,41,102,4120,376,146,3.4,42.8,105,3264,359,149,3.5,42.9,99,3704,346,153,2.5,62.7,75,1821,186,183,2.2,84.3,63,430,136,2,1,0,0,0,0,0,0
7,BB Cartões - Visa,2021-11-01T00:00:00,4,43,2,1,BB Cartões,Visa,ZL,C,NOVEMBRO,202111,23.8,,0,53,64,64.11764705882352,53,8,4.4,0,138,3.4,41,0,6397,151,2.4,63.1,68,1332,167,93,1.9,48.6,62,1087,120,130,2.7,47.1,43,817,118,172,5.2,32.3,35,1639,187,165,7.4,22.2,64,1522,479,2,1,0,0,0,0,0,0
8,BB Cartões - Visa,2021-12-01T00:00:00,4,43,2,1,BB Cartões,Visa,ZL,C,DEZEMBRO,202112,21,,0,92,104,104.0476190476191,92,7,3.8,0,184,5.8,31.9,0,17722,185,8.1,22.9,89,5737,722,172,6.8,25.5,92,4969,623,172,5.5,31.1,93,4156,520,217,3.8,56.4,95,2169,368,174,2.4,71.3,94,691,231,2,1,0,0,0,0,0,0
9,BB Cartões - Visa,2022-01-01T00:00:00,4,43,2,1,BB Cartões,Visa,ZL,C,JANEIRO - Parc,202201,6,,0,92,102,101.5,92,5,4,0,179,6.3,28.3,0,5522,167,6.6,25.4,92,4824,609,241,5,48.3,90,698,449,,,,,,,,,,,,,,,,,,,2,1,0,0,0,0,0,0
10,BB Cartões - Visa,2022-01-01T00:00:00,4,43,2,1,BB Cartões,Visa,ZL,C,JANEIRO - Obj,202201,21,,90,,97,91.2,87,6,5,0,188,6.3,30.1,,17121,182,6.9,26.2,90,4680,624,187,7.1,26.2,88,4697,626,187,6.2,30.3,86,3975,530,196,5.1,38.4,84,3225,430,196,4.3,45.4,84,545,363,2,2,0,0,0,0,0,0
